Date,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close
01/01/2007,54,55.1,40.75,40.57,38.11588,40.48709,130.99,159.81,42.25,43.77
01/02/2007,55.1,51.87,40.95,39.87,40.48709,39.62387,159.8,168.86,43.77,43.61
01/03/2007,51.01,55.54,39.2,42.64,38.82308,37.68945,168.5,171.47,43,52.3
02/04/2007,55.49,59.21,42.9,43.32,37.75188,37.03433,171.47,179.98,52.3,47.56
01/05/2007,59.21,68.97,43.32,47.97,36.90947,43.3782,179.98,208.66,47.56,50.11
01/06/2007,68.97,66.67,47.96,54.73,43.52387,41.38147,208.66,187.84,50.3,49.58
02/07/2007,66.71,61.38,55,69.58,41.59991,36.88866,187.84,214.06,49.58,49.64
01/08/2007,61,64.96,69.5,60.77,36.60789,37.01352,214.07,219.31,49.54,44.99
03/09/2007,65.5,61.07,60.77,65.94,37.17989,34.12229,220,223.1,45.1,42.92
01/10/2007,61.07,60.64,66.2,74.27,34.12229,33.65424,224.5,244.96,42.9,49.16
01/11/2007,60,60.25,74,64.55,33.01993,32.35424,244,257.57,49,47.33
03/12/2007,60.25,65.05,64.55,72.12,32.35424,29.4215,258.07,325.02,47.33,45.08
01/01/2008,65.05,64.7,72.12,70.3,29.48393,30.76312,325.02,258.41,45.08,44.66
01/02/2008,64.7,58.18,70.01,64.46,30.62792,30.57583,260.01,251.54,44.55,42.97
03/03/2008,58.18,64,64.4,63.26,30.57583,29.24467,250.99,290.58,42.97,46.14
01/04/2008,64,67.14,62.67,63.51,29.28629,30.29507,290.78,324.14,46.2,46.31
01/05/2008,67.14,67.09,63.51,69.16,30.88787,30.58629,324.14,407.79,46.31,50.15
02/06/2008,65.09,67.18,69,64.28,30.49271,26.55108,407.78,379.97,50.15,48.47
01/07/2008,66.98,64.97,64,53.3,26.10395,22.23511,390,397.93,48.45,43.46
01/08/2008,64.98,68.55,53.3,46.5,22.26638,21.52791,395,380.94,43.4,41.43
01/09/2008,68.5,68.73,46.5,31.53,21.83995,19.4999,387.51,381.62,41.4,34.92
01/10/2008,68.56,61.3,31.45,18.28,19.62476,9.99437,381.62,343.12,34,24.81
03/11/2008,65.11,62.92,18.75,19.05,10.28556,9.97356,344,500.87,24.8,21.41
01/12/2008,59.76,58.32,18.6,22.89,8.70477,13.21834,492,581.21,21,24.88
01/01/2009,58.32,51.41,22.89,23.74,13.17672,11.75198,581.21,324.51,24.88,18.93
02/02/2009,51.41,43.03,23.74,22.45,11.75198,8.54877,324.51,303.54,18.93,16.09
02/03/2009,42.5,52.6,23,24.35,8.40317,9.27677,303.54,470.2,15.89,18.83
01/04/2009,52.62,62,23.8,25.1,9.15196,10.60796,470,582.98,18.83,21.3
01/05/2009,62,70,25.1,25.8,10.60796,13.30158,582.98,685,21.3,31
01/06/2009,69.9,70,26.11,22.57,14.79911,12.80237,691.13,599.99,31.67,31.9
01/07/2009,70,73.7,22.65,24.29,13.31193,12.92712,598.54,677.82,31.76,32.73
